1778860221	wlp3s0	1254246772	1304968618
1778860220	wlp3s0	1254218209	1304953185
1778860218	wlp3s0	1254211067	1304950521
1778860217	wlp3s0	1254187787	1304934176
1778860214	wlp3s0	1254167860	1304924564
1778860212	wlp3s0	1254127968	1304796827
1778860206	wlp3s0	1254057006	1304762859
1778860205	wlp3s0	1254047516	1304753257
1778860204	wlp3s0	1254042009	1304741261
1778860203	wlp3s0	1253993437	1304719026
1778860202	wlp3s0	1253990906	1304718008
1778860200	wlp3s0	1253963821	1304698832
1778860199	wlp3s0	1253939586	1304683886
1778860198	wlp3s0	1253938833	1304683792
1778860197	wlp3s0	1253938611	1304683792
1778860196	wlp3s0	1253937045	1304683244
1778860194	wlp3s0	1253936369	1304682394
1778860193	wlp3s0	1253935835	1304681662
1778860192	wlp3s0	1253907073	1304680314
1778860191	wlp3s0	1253880223	1304651293
1778860190	wlp3s0	1253877045	1304650431
1778860189	wlp3s0	1253875988	1304650133
1778860187	wlp3s0	1253875837	1304649937
1778860186	wlp3s0	1253875837	1304649937
1778860185	wlp3s0	1253848372	1304648555
1778860184	wlp3s0	1253826434	1304627630
1778860182	wlp3s0	1253811913	1304609908
1778860181	wlp3s0	1253806333	1304608216
1778860180	wlp3s0	1253804924	1304607958
1778860179	wlp3s0	1253802611	1304607070
1778860177	wlp3s0	1253800133	1304604550
1778860176	wlp3s0	1253697709	1304597270
1778860175	wlp3s0	1253672970	1304571613
1778860174	wlp3s0	1253644284	1304536186
1778860173	wlp3s0	1253642888	1304535238
1778860171	wlp3s0	1253625595	1304525451
1778860170	wlp3s0	1253621448	1304523984
1778860168	wlp3s0	1253596995	1304507783
1778860166	wlp3s0	1253596658	1304507512
1778860165	wlp3s0	1253569076	1304506572
1778860164	wlp3s0	1253568830	1304506572
1778860162	wlp3s0	1253566713	1304482341
1778860161	wlp3s0	1253563039	1304479283
1778860160	wlp3s0	1253562207	1304478387
1778860159	wlp3s0	1253556264	1304474356
1778860158	wlp3s0	1253555616	1304473522
1778860157	wlp3s0	1253554436	1304473212
1778860155	wlp3s0	1253553800	1304473042
1778860154	wlp3s0	1253552285	1304472558
1778860153	wlp3s0	1253551375	1304472464
1778860152	wlp3s0	1253544387	1304458667
1778860151	wlp3s0	1253544165	1304458037
1778860150	wlp3s0	1253542577	1304456499
1778860148	wlp3s0	1253541975	1304456405
1778860147	wlp3s0	1253541669	1304456405
1778860146	wlp3s0	1253539696	1304454949
1778860145	wlp3s0	1253534928	1304449923
1778860144	wlp3s0	1253526326	1304441393
1778860143	wlp3s0	1253524174	1304432599
1778860142	wlp3s0	1253523082	1304432427
1778860140	wlp3s0	1253522872	1304432325
1778860139	wlp3s0	1253521699	1304432043
1778860138	wlp3s0	1253521471	1304430783
1778860137	wlp3s0	1253513060	1304421234
1778860136	wlp3s0	1253509918	1304411948
1778860135	wlp3s0	1253509446	1304411822
1778860133	wlp3s0	1253508897	1304411192
1778860132	wlp3s0	1253508055	1304411004
1778860131	wlp3s0	1253507338	1304410738
1778860130	wlp3s0	1253506876	1304410636
1778860129	wlp3s0	1253506769	1304410534
1778860128	wlp3s0	1253505405	1304409877
1778860126	wlp3s0	1253505170	1304409051
1778860125	wlp3s0	1253504894	1304408421
1778860124	wlp3s0	1253504183	1304408327
1778860123	wlp3s0	1253504075	1304407697
1778860122	wlp3s0	1253504075	1304407697
1778860121	wlp3s0	1253503853	1304407067
1778860120	wlp3s0	1253503036	1304406973
1778860118	wlp3s0	1253502434	1304406879
1778860117	wlp3s0	1253502374	1304406879
1778860116	wlp3s0	1253501906	1304406879
1778860115	wlp3s0	1253501164	1304406471
1778860114	wlp3s0	1253496746	1304403683
1778860113	wlp3s0	1253482566	1304387266
1778860111	wlp3s0	1253482284	1304380200
1778860110	wlp3s0	1253481622	1304380004
1778860109	wlp3s0	1253464950	1304369062
1778860108	wlp3s0	1253446348	1304358499
1778860107	wlp3s0	1253435359	1304346254
1778860106	wlp3s0	1253435029	1304345296
1778860104	wlp3s0	1253434723	1304345296
